id,time
33379,2010-01-06 09:28:49
33380,2010-01-06 09:34:47
33381,2010-01-06 09:43:21
33382,2010-01-06 09:44:22
33383,2010-01-06 10:22:17
33384,2010-01-06 10:23:26
33385,2010-01-06 10:46:09
33386,2010-01-06 11:07:45
33387,2010-01-06 11:09:17
33388,2010-01-06 11:12:11
33389,2010-01-06 11:13:58
33390,2010-01-06 11:17:43
33391,2010-01-06 11:24:17
33392,2010-01-06 11:27:56
33393,2010-01-06 11:40:15
33394,2010-01-06 12:00:16
33395,2010-01-06 12:09:00
33396,2010-01-06 12:15:44
33397,2010-01-06 12:36:00
33398,2010-01-06 12:45:16
33399,2010-01-06 12:49:27
33400,2010-01-06 12:57:36
33401,2010-01-06 13:02:00
33402,2010-01-06 13:06:22
33403,2010-01-06 13:10:54
33404,2010-01-06 13:12:08
33405,2010-01-06 13:16:01
33406,2010-01-06 13:22:03
33407,2010-01-06 13:25:10
33408,2010-01-06 13:31:13
33409,2010-01-06 13:41:26
33410,2010-01-06 13:45:08
33411,2010-01-06 13:50:05
33412,2010-01-06 14:23:17
33413,2010-01-06 14:49:19
33414,2010-01-06 14:52:27
33415,2010-01-06 15:01:27
33416,2010-01-06 15:02:59
33417,2010-01-06 15:07:04
33418,2010-01-06 15:27:52
33419,2010-01-06 15:29:42
33420,2010-01-06 15:38:09
33421,2010-01-06 15:48:23
33422,2010-01-06 16:31:28
33423,2010-01-06 16:35:06
33424,2010-01-06 16:36:08
33425,2010-01-06 16:37:41
33426,2010-01-06 16:37:49
33427,2010-01-06 16:51:10
33428,2010-01-06 16:57:56
33429,2010-01-06 17:03:39
33430,2010-01-06 17:04:08
33431,2010-01-06 17:23:05
33432,2010-01-06 17:29:47
33433,2010-01-06 17:31:04
33434,2010-01-06 17:53:27
33435,2010-01-06 17:58:51
33436,2010-01-06 18:17:12
33437,2010-01-06 18:23:49
33438,2010-01-06 18:29:06
33439,2010-01-06 18:37:27
33440,2010-01-06 18:51:42
33441,2010-01-06 19:24:26
33442,2010-01-06 19:35:56
33443,2010-01-06 19:36:58
33444,2010-01-06 19:53:50
33445,2010-01-06 20:02:03
33446,2010-01-06 20:04:55
33447,2010-01-06 20:05:51
33448,2010-01-06 20:08:03
33449,2010-01-06 20:14:19
33450,2010-01-06 20:34:13
33451,2010-01-06 20:35:52
33452,2010-01-06 20:37:04
33453,2010-01-06 21:13:52
33454,2010-01-06 21:30:32
33455,2010-01-06 21:31:12
33456,2010-01-06 21:43:25
33457,2010-01-06 21:45:24
33458,2010-01-06 21:46:16
33459,2010-01-06 21:47:21
33460,2010-01-06 22:01:06
33461,2010-01-06 22:10:52
33462,2010-01-06 22:26:36
33463,2010-01-06 22:34:14
33464,2010-01-06 22:38:41
33465,2010-01-06 22:52:14
33466,2010-01-06 22:52:30
33467,2010-01-06 22:55:32
33468,2010-01-06 23:03:30
33469,2010-01-06 23:06:24
33470,2010-01-06 23:07:09
33471,2010-01-06 23:19:17
33472,2010-01-06 23:24:05
33473,2010-01-06 23:42:02
33474,2010-01-06 23:45:19
33475,2010-01-06 23:56:46
33476,2010-01-07 00:02:21
33477,2010-01-07 00:07:01
33478,2010-01-07 00:41:18
33479,2010-01-07 00:49:20
33480,2010-01-07 00:59:49
33481,2010-01-07 01:12:02
33482,2010-01-07 01:26:56
33483,2010-01-07 01:33:42
33484,2010-01-07 01:38:01
33485,2010-01-07 01:48:32
33486,2010-01-07 01:50:35
33487,2010-01-07 02:00:26
33488,2010-01-07 02:06:54
33489,2010-01-07 02:28:43
33490,2010-01-07 02:32:45
33491,2010-01-07 02:37:43
33492,2010-01-07 02:46:24
33493,2010-01-07 02:47:53
33494,2010-01-07 02:47:55
33495,2010-01-07 03:18:20
33496,2010-01-07 03:24:36
33497,2010-01-07 03:52:47
33498,2010-01-07 03:53:16
33499,2010-01-07 03:55:03
33500,2010-01-07 04:03:10
33501,2010-01-07 04:07:55
33502,2010-01-07 04:11:18
33503,2010-01-07 04:37:09
33504,2010-01-07 04:53:54
33505,2010-01-07 05:34:49
33506,2010-01-07 05:39:31
33507,2010-01-07 06:04:02
33508,2010-01-07 06:09:51
33509,2010-01-07 06:12:52
33510,2010-01-07 06:16:19
33511,2010-01-07 06:21:24
33512,2010-01-07 06:37:55
33513,2010-01-07 06:47:18
33514,2010-01-07 06:51:21
33515,2010-01-07 06:51:41
33516,2010-01-07 07:02:38
33517,2010-01-07 07:07:30
33518,2010-01-07 07:30:28
33519,2010-01-07 07:40:31
33520,2010-01-07 08:17:02
33521,2010-01-07 08:21:29
33522,2010-01-07 08:39:29
33523,2010-01-07 08:48:59
33524,2010-01-07 09:08:55
33525,2010-01-07 09:12:14
33526,2010-01-07 09:50:15
33527,2010-01-07 09:57:33
33528,2010-01-07 10:14:15
33529,2010-01-07 10:20:09
33530,2010-01-07 10:20:32
33531,2010-01-07 10:21:55
33532,2010-01-07 10:35:28
33533,2010-01-07 10:37:01
33534,2010-01-07 10:38:07
33535,2010-01-07 10:59:19
33536,2010-01-07 11:12:07
33537,2010-01-07 11:18:59
33538,2010-01-07 11:20:32
33539,2010-01-07 11:29:25
33540,2010-01-07 11:38:03
33541,2010-01-07 11:57:16
33542,2010-01-07 12:01:44
33543,2010-01-07 12:29:34
33544,2010-01-07 12:31:01
33545,2010-01-07 12:43:52
33546,2010-01-07 12:46:44
33547,2010-01-07 12:54:55
33548,2010-01-07 12:55:09
33549,2010-01-07 12:55:37
33550,2010-01-07 13:05:17
33551,2010-01-07 13:18:02
33552,2010-01-07 13:29:00
33553,2010-01-07 13:32:45
33554,2010-01-07 13:36:29
33555,2010-01-07 13:48:06
33556,2010-01-07 14:05:47
33557,2010-01-07 14:06:09
33558,2010-01-07 14:08:13
33559,2010-01-07 14:15:11
33560,2010-01-07 14:28:38
33561,2010-01-07 14:29:06
33562,2010-01-07 14:36:54
33563,2010-01-07 14:45:30
33564,2010-01-07 14:54:27
33565,2010-01-07 14:59:24
33566,2010-01-07 15:00:25
33567,2010-01-07 15:09:03
33568,2010-01-07 15:10:35
33569,2010-01-07 15:20:11
33570,2010-01-07 15:23:30
33571,2010-01-07 15:36:41
33572,2010-01-07 15:45:46
33573,2010-01-07 15:57:01
33574,2010-01-07 16:09:31
33575,2010-01-07 16:20:30
33576,2010-01-07 16:24:19
33577,2010-01-07 16:24:35
33578,2010-01-07 16:42:36
33579,2010-01-07 16:46:16
33580,2010-01-07 16:49:32
33581,2010-01-07 16:50:13
33582,2010-01-07 16:52:13
33583,2010-01-07 16:58:46
33584,2010-01-07 16:59:21
33585,2010-01-07 17:03:16
33586,2010-01-07 17:05:35
33587,2010-01-07 17:16:24
33588,2010-01-07 17:21:07
33589,2010-01-07 17:27:37
33590,2010-01-07 17:29:06
33591,2010-01-07 17:50:49
33592,2010-01-07 17:55:11
33593,2010-01-07 18:07:19
33594,2010-01-07 18:14:56
33595,2010-01-07 18:34:48
33596,2010-01-07 18:42:15
33597,2010-01-07 18:56:02
33598,2010-01-07 19:03:55
33599,2010-01-07 19:06:35
33600,2010-01-07 19:17:56
33601,2010-01-07 19:19:20
33602,2010-01-07 19:20:06
33603,2010-01-07 19:39:57
33604,2010-01-07 19:42:34
33605,2010-01-07 19:44:50
33606,2010-01-07 20:14:27
33607,2010-01-07 20:14:42
33608,2010-01-07 20:23:02
33609,2010-01-07 20:27:45
33610,2010-01-07 20:42:30
33611,2010-01-07 20:52:18
33612,2010-01-07 20:54:40
33613,2010-01-07 21:10:10
33614,2010-01-07 21:18:44
33615,2010-01-07 21:23:00
33616,2010-01-07 21:26:33
33617,2010-01-07 21:30:29
33618,2010-01-07 21:41:34
33619,2010-01-07 21:44:06
33620,2010-01-07 21:48:17
33621,2010-01-07 21:58:20
33622,2010-01-07 22:06:55
33623,2010-01-07 22:15:15
33624,2010-01-07 22:25:42
33625,2010-01-07 22:33:59
33626,2010-01-07 23:08:41
33627,2010-01-07 23:27:14
33628,2010-01-07 23:29:50
33629,2010-01-07 23:55:48
33630,2010-01-08 00:01:08
33631,2010-01-08 00:23:21
33632,2010-01-08 00:39:12
33633,2010-01-08 00:58:58
33634,2010-01-08 01:08:37
33635,2010-01-08 01:26:31
33636,2010-01-08 01:30:52
33637,2010-01-08 01:47:36
33638,2010-01-08 01:51:44
33639,2010-01-08 01:59:01
33640,2010-01-08 01:59:43
33641,2010-01-08 02:04:49
33642,2010-01-08 02:05:15
33643,2010-01-08 02:06:50
33644,2010-01-08 02:10:23
33645,2010-01-08 02:18:28
33646,2010-01-08 02:18:58
33647,2010-01-08 02:38:28
33648,2010-01-08 02:51:31
33649,2010-01-08 02:55:19
33650,2010-01-08 03:06:25
33651,2010-01-08 03:31:23
33652,2010-01-08 03:36:33
33653,2010-01-08 03:49:42
33654,2010-01-08 03:50:27
33655,2010-01-08 04:05:10
33656,2010-01-08 04:09:44
33657,2010-01-08 04:46:51
33658,2010-01-08 04:55:32
33659,2010-01-08 05:22:04
33660,2010-01-08 05:24:16
33661,2010-01-08 05:47:34
33662,2010-01-08 05:48:47
33663,2010-01-08 06:01:24
33664,2010-01-08 06:03:05
33665,2010-01-08 06:13:33
33666,2010-01-08 06:23:06
33667,2010-01-08 06:24:10
33668,2010-01-08 07:06:12
33669,2010-01-08 07:12:58
33670,2010-01-08 07:21:43
33671,2010-01-08 07:32:28
33672,2010-01-08 07:32:46
33673,2010-01-08 07:48:59
33674,2010-01-08 08:33:00
33675,2010-01-08 08:37:02
33676,2010-01-08 08:50:47
33677,2010-01-08 08:53:13
33678,2010-01-08 08:55:40
33679,2010-01-08 09:26:51
33680,2010-01-08 09:32:24
33681,2010-01-08 09:34:52
33682,2010-01-08 09:49:29
33683,2010-01-08 09:49:51
33684,2010-01-08 09:52:37
33685,2010-01-08 10:05:13
33686,2010-01-08 10:12:29
33687,2010-01-08 10:12:35
33688,2010-01-08 10:13:40
33689,2010-01-08 10:20:02
33690,2010-01-08 10:33:22
33691,2010-01-08 10:38:22
33692,2010-01-08 10:44:41
33693,2010-01-08 10:56:22
33694,2010-01-08 11:11:19
33695,2010-01-08 11:13:25
33696,2010-01-08 11:24:01
33697,2010-01-08 11:27:41
